City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,laojunmiao,39.8333,97.7333,20.89,21,0,3.24,CN,1719355980
307,tughyl,47.7252,84.2063,21.29,66,5,3.0,KZ,1719355981
308,las khorey,11.1595,48.1967,32.03,48,98,6.93,SO,1719355982
309,cannonvale,-20.2833,148.7,20.66,95,100,6.41,AU,1719355983
310,port saint john's,-31.6229,29.5448,17.78,80,67,2.22,ZA,1719355984
311,ulaangom,49.9811,92.0667,23.88,48,100,1.97,MN,1719355985
312,neyriz,29.1988,54.3278,25.53,18,3,2.05,IR,1719355987
313,grove,51.6095,-1.4219,21.05,66,0,3.09,GB,1719355988
314,keflavik,64.0049,-22.5624,8.95,93,75,4.12,IS,1719355712
315,salinopolis,-0.6136,-47.3561,26.09,86,1,5.16,BR,1719355938
316,pitimbu,-7.4706,-34.8086,25.33,83,22,5.14,BR,1719355991
317,sabang,5.8933,95.3214,28.78,74,98,6.76,ID,1719355992
318,pochinki,54.6988,44.8668,9.71,73,54,3.43,RU,1719355993
319,morrope,-6.5417,-80.0111,21.06,73,97,6.16,PE,1719355994
320,bodaybo,57.8506,114.1933,19.95,83,22,0.42,RU,1719355996
321,peace river,56.2501,-117.286,18.9,52,28,1.8,CA,1719355997
322,mount isa,-20.7333,139.5,15.87,36,75,2.57,AU,1719355998
323,sangsong-ni,39.1694,126.8856,21.13,62,0,1.66,KP,1719355999
324,shakhty,47.7091,40.2144,13.79,66,23,3.22,RU,1719355831
325,la ronge,55.1001,-105.2842,12.56,61,93,3.86,CA,1719356001
326,kone,-21.0595,164.8658,25.6,51,18,1.9,NC,1719356002
327,arkhangel'sk,64.5401,40.5433,12.06,94,20,2.0,RU,1719356004
328,astrakhan,46.3497,48.0408,20.93,68,0,4.0,RU,1719356005
329,north ward,-19.2454,146.8075,20.95,88,75,0.0,AU,1719356006
330,chhatapur,26.2167,87.0167,25.83,94,100,2.75,IN,1719356007
331,princeville,45.7668,-61.2985,17.57,96,100,2.68,CA,1719356008
332,romita,20.8667,-101.5167,25.98,42,88,2.49,MX,1719356009
333,coweta,33.3835,-84.7666,36.15,29,0,1.54,US,1719356010
334,puerto san jose,13.9256,-90.8244,32.03,62,75,10.29,GT,1719356011
335,haiku-pauwela,20.9219,-156.3051,28.98,64,20,10.29,US,1719356012
336,severo-yeniseyskiy,60.3725,93.0408,17.76,63,0,1.03,RU,1719356014
337,impfondo,1.6381,18.0667,24.51,73,68,0.32,CG,1719356015
338,howrah,22.5892,88.3103,30.0,84,40,1.54,IN,1719356016
